T,A,B,C
6240,23,4,20
6250,23,4,20
6260,23,4,20
6270,23,4,20
6280,23,4,19
6290,23,4,19
6300,23,4,19
6310,23,4,16
6320,21,4,16
6330,21,4,16
6340,21,4,16
6350,21,4,16
6360,21,4,16
6370,21,4,16
6380,21,4,16
6390,21,4,16
6400,21,4,16
6410,21,4,16
6420,21,4,16
6430,21,4,13
6440,21,4,13
6450,21,4,13
6460,21,4,13
6470,21,4,13
6480,21,4,13
6490,21,4,13
6500,21,4,13
6510,21,4,13
6520,21,4,13
6530,21,4,13
6540,21,4,13
6550,21,4,13
6560,21,4,13
6570,21,4,13
6580,21,4,13
6590,21,4,13
6600,21,4,13
6610,21,4,13
6620,21,4,13
6630,21,4,13
6640,21,4,13
6650,21,4,13
6660,21,4,13
6670,21,4,12
6680,16,4,12
6690,16,4,12
6700,16,4,12
6710,16,4,12
6720,16,4,12
6730,16,4,12
6740,16,4,12
6750,16,4,12
6760,16,4,12
6770,16,4,12
6780,16,4,12
6790,16,4,12
6800,16,4,12
6810,16,4,12
6820,16,4,11
6830,16,4,11
6840,16,4,11
6850,16,4,11
6860,16,4,11
6870,16,4,11
6880,16,4,11
6890,16,4,11
6900,16,4,11
6910,16,4,11
6920,16,4,11
6930,16,4,11
6940,16,4,11
6950,16,4,11
6960,16,4,11
6970,16,4,11
6980,16,4,11
6990,16,4,11
7000,16,4,11
7010,16,4,11
7020,16,4,11
7030,16,4,11
7040,16,4,11
7050,16,4,11
7060,16,4,11
7070,12,4,11
7080,12,4,11
7090,12,4,10
7100,12,4,10
7110,12,4,10
7120,12,4,10
7130,12,4,10
7140,12,4,10
7150,12,4,7
7160,12,4,7
7170,12,4,7
7180,12,4,7
7190,12,4,7
7200,12,4,7
7210,12,4,7
7220,12,4,7
7230,12,4,7
7240,12,4,7
7250,12,4,7
7260,12,4,7
7270,12,4,7
7280,12,4,7
7290,12,4,7
7300,12,4,7
7310,12,4,7
7320,12,4,7
7330,12,4,7
7340,12,4,7
7350,12,4,7
7360,12,4,7
7370,12,4,7
7380,12,4,7
7390,12,4,7
7400,12,4,7
7410,12,4,7
7420,12,4,7
7430,12,4,7
7440,7,4,7
7450,7,4,7
7460,7,4,7
7470,7,4,7
7480,7,4,7
7490,7,4,7
7500,7,4,7
7510,7,4,7
7520,7,4,7
7530,7,4,7
7540,7,4,6
7550,7,4,6
7560,7,4,6
7570,7,4,6
